Title	Artist	URL	Playlist Title
Kiss and Say Goodbye (X-Rated Version)	The Manhattans	NdmyoZjAa_w	Rock N Roll Black
You're All I Need To Get By	Marvin Gaye	PLjv0-ec-eU	Rock N Roll Black
[You] Got What I Need	Freddie Scott	L2XU_Fl2Tpc	Rock N Roll Black
Same Old Beat	Freddie Scott	LXJoyoewk-8	Rock N Roll Black
Rockin' Robin	Bobby Day	uLF3YZIjucs	Rock N Roll Black
I'm Your Puppet	James & Bobby Purify	wzhBXza_b_Q	Rock N Roll Black
I Thank You	Sam & Dave	PiZfP-bDXgQ	Rock N Roll Black
Tell It Like It Is	Aaron Neville	WrS-XqOtHX4	Rock N Roll Black
Ain't Got No Home	Clarence "frogman" Henry	qIvy9nSlZf0	Rock N Roll Black
I GOTCHA	Joe Tex & The Vibrators	rGb4VXn6ybg	Rock N Roll Black
I GOTCHA	Joe Tex & The Vibrators	rGb4VXn6ybg	Rock N Roll Black
Ain't Gonna Bump No More (With No Big Fat Woman)	Joe Tex & The Vibrators	P-o1OBhCUlM	Rock N Roll Black
I Was Checkin' Out She Was Checkin' In	Don Covay	t-fWOB10m9A	Rock N Roll Black
Slow Down	Larry Williams	kf6tDooYgj0	Rock N Roll Black
Rip It Up	Little Richard	m0XxovkwOjE	Rock N Roll Black
Help Me	Sonny Boy Williamson II	Aa_HSpeONEM	Rock N Roll Black
Little Bitty Pretty One	Bobby Day	SHZhhZDCbBE	Rock N Roll Black
Blue Moon	The Marcels	7G8sgFFk9wo	Rock N Roll Black
Rocket 88	Jackie Brenston & His Delta Cats	GKaAcG8K2hA	Rock N Roll Black
Chain of Fools	Aretha Franklin	o0s5CP2kXsc	Rock N Roll Black
I'll Take You There	The Staple Singers	qXvirzznSn4	Rock N Roll Black
Road Runner	Bo Diddley	1WjUnz0g9hE	Rock N Roll Black
Who Do You Love	Bo Diddley	RX1_lAiwvo0	Rock N Roll Black
Papa-Oom-Mow-Mow	The Rivingtons	AnW2WNHiTPw	Rock N Roll Black
Bo Diddley	Bo Diddley	0mWMZKbr690	Rock N Roll Black
I'm A Man	Bo Diddley	OKlAiuaYdoI	Rock N Roll Black
John Lee Hooker - "Boom Boom"	John Lee Hooker Official	dZOvSRNXL0c	Rock N Roll Black
Money (That's What I Want)	Barrett Strong	ljpR6c_1pvk	Rock N Roll Black
The Isley Brothers - Shout, Pts. 1 & 2 (Official Audio)	TheIsleyBrothersVEVO	DPVf01jXL7M	Rock N Roll Black
Twist and Shout (Remastered)	The Isley Brothers	fuNCwPBm3fw	Rock N Roll Black
Bill Withers - Grandma's Hands (Official Audio)	BillWithersVEVO	TdrChyGb574	Rock N Roll Black
Grover Washington Jr. feat. Bill Withers - Just the Two of Us (Official Lyric Video)	Bill Withers	MUOklA5LFz0	Rock N Roll Black
Use Me	Bill Withers	HprVW3gS-H4	Rock N Roll Black
Bill Withers - Lean on Me (Official Audio)	BillWithersVEVO	gOZgo8gMIoM	Rock N Roll Black
Bill Withers - Ain't No Sunshine (Official Audio)	BillWithersVEVO	YuKfiH0Scao	Rock N Roll Black
Lovely Day	Bill Withers	QCgeitX5xg0	Rock N Roll Black
Lean on Me	Bill Withers	fOZ-MySzAac	Rock N Roll Black
Shake, Rattle and Roll	Big Joe Turner	rJoTiZ0tHYc	Rock N Roll Black
Duke Of Earl	Gene Chandler	Yw9SfkhSO-M	Rock N Roll Black
Another Saturday Night	Sam Cooke	8N1qQHzh6-A	Rock N Roll Black
Still Water (Love)	Four Tops	GjwaNA_mPV8	Rock N Roll Black
Blueberry Hill	Fats Domino	1bPjFfdAL7w	Rock N Roll Black
Let's Dance	The Studio Group	alz58hCIMY8	Rock N Roll Black
Under the Boardwalk	The Drifters	PSddD6w5SKc	Rock N Roll Black
Little Bitty Pretty One	Thurston Harris	pLOruXaPFMM	Rock N Roll Black
Yakety Yak	The Coasters	3-CjHA-p8VY	Rock N Roll Black
Banana Boat (Day-O)	Harry Belafonte	DYYkJ0kwNss	Rock N Roll Black
The Twist (Rerecorded)	Chubby Checker	vuQyUMOK-K0	Rock N Roll Black
Johnny B. Goode	Chuck Berry	Uf4rxCB4lys	Rock N Roll Black
Hold On, I'm Comin'	Sam & Dave	8T3BhEikz6E	Rock N Roll Black
The Supremes - Come See About Me (Lyric Video)	TheSupremesVEVO	NkH_dm9NkxQ	Rock N Roll Black
Jump in the Line	Harry Belafonte	dgWXF32nxLs	Rock N Roll Black
Good Golly Miss Molly	Little Richard	QTDhQ2QECqE	Rock N Roll Black
Tutti Frutti (Take 2)	Little Richard	gZwYRzBlYEo	Rock N Roll Black
Lucille	Little Richard	yjZtZye7aeI	Rock N Roll Black
Fats Domino - Blueberry Hill	retro45rpm	a3BE8NZVDG4	Rock N Roll Black
Just Because	Lloyd Price	JXOvSLVMX_0	Rock N Roll Black
Tears On My Pillow	Little Anthony	iCzo2yna0wc	Rock N Roll Black
Earth Angel (Stereo)	Johnny Maestro	9i7S7jRXuVo	Rock N Roll Black
I Only Have Eyes for You	The Flamingos	LOlGZ54GNRM	Rock N Roll Black
My Girl	The Temptations	szbI1vu-cCc	Rock N Roll Black
Reach Out I'll Be There	Four Tops	AUZ3INx3-KA	Rock N Roll Black
Knock on Wood	Eddie Floyd	yyU1k-BzHWw	Rock N Roll Black
Na Na Hey Hey Kiss Him Goodbye	Steam	WhF6Yzws5PU	Rock N Roll Black
Try a Little Tenderness	Otis Redding	HKKbMBJgDJ4	Rock N Roll Black
You've Really Got A Hold On Me	Smokey Robinson	DRd-bjFfjNc	Rock N Roll Black
I'm Your Puppet	James & Bobby Purify	rYyCdHUJfb4	Rock N Roll Black
When a Man Loves a Woman	Percy Sledge	AEGDN8wIcCc	Rock N Roll Black
[Sittin' On] the Dock of the Bay	Otis Redding	Zu5chXCp1Ag	Rock N Roll Black
I Can't Help Myself (Sugar Pie, Honey Bunch)	Four Tops	8Jtokmp8zoE	Rock N Roll Black
Nowhere To Run	Martha Reeves & The Vandellas	8n3ZiFHluMs	Rock N Roll Black
Stand by Me	Ben E. King	b-D5yAAXYng	Rock N Roll Black
Earth Angel	The Penguins	wVOnJKDca2Q	Rock N Roll Black
How Sweet It Is (To Be Loved By You)	Marvin Gaye	mTNFZnTuIfo	Rock N Roll Black
I Heard It Through The Grapevine	Marvin Gaye	kAPj9oP4q_w	Rock N Roll Black
No Particular Place To Go	Chuck Berry	Bhx96Nt5hyQ	Rock N Roll Black
[Your Love Keeps Lifting Me] Higher & Higher	Jackie Wilson	Gn6SNbTD0_Q	Rock N Roll Black
Do You Love Me (Mono Single)	The Contours	LlKRp2KrJuQ	Rock N Roll Black
You Never Can Tell	Chuck Berry	u9l0YBKcGnY	Rock N Roll Black
Build Me Up Buttercup (Mono)	The Foundations	w0kLkDCoRXc	Rock N Roll Black
Johnny B. Goode	Chuck Berry	uFeZ_x--aRg	Rock N Roll Black
You've Really Got A Hold On Me	Smokey Robinson	Hw27U6act7I	Rock N Roll Black
Mr. Pitiful	Otis Redding	VCIkP5xbdRk	Rock N Roll Black
Alvin Robinson - Something You Got	Joe Parypa	Ogr6bDMhN20	Rock N Roll Black
In the Midnight Hour (45 Version)	Wilson Pickett	Il-usrZxGns	Rock N Roll Black
Tell It Like It Is	Aaron Neville	RgoscpHvtQY	Rock N Roll Black
Let's Stay Together	Al Green	EKOcfZtKvYQ	Rock N Roll Black
Mustang Sally	Wilson Pickett	efctwrcovJQ	Rock N Roll Black
The Tears Of A Clown	Smokey Robinson	Kp9lwDax5rM	Rock N Roll Black
Save the Last Dance for Me	The Drifters	VAKimpus2ic	Rock N Roll Black
Grazing In the Grass	The Friends of Distinction	tKQ47h6S6p4	Rock N Roll Black
The Great Pretender	The Platters	S3nzDxuBeE4	Rock N Roll Black
L-O-V-E	Nat King Cole	gZYtes1RO_w	Rock N Roll Black
Stay	Maurice Williams & The Zodiacs	YbCV_fTyedk	Rock N Roll Black
How Can You Mend a Broken Heart	Al Green	SuQJZp2yWc0	Rock N Roll Black
Long Tall Sally	Little Richard	E68N5E1d0_M	Rock N Roll Black
Love and Happiness	Al Green	uRsfAskzc4E	Rock N Roll Black
In the Still of the Night	The Five Satins	AdtTN51_raM	Rock N Roll Black
I'm Good For Nothing	Jimmy Dawkins	kPLB-B50zUs	Rock N Roll Black
It's The Same Old Song	Four Tops	MHOly1URJjw	Rock N Roll Black
My Babe	Little Walter	PTWuvv82BqA	Rock N Roll Black
Somebody Please	The Vanguards	NTKHomRD6tE	Rock N Roll Black
Sunny	Bobby Hebb	J-5xGXpNt74	Rock N Roll Black
Mannish Boy	Muddy Waters	_9IIDE_45Pc	Rock N Roll Black
Don't Ask Me to Be Lonely	The Dubs	PQlhSLBQYo0	Rock N Roll Black
Still Of The Night	The Five Satins	Nyr0EWSF8kM	Rock N Roll Black
C.C. Rider	Chuck Willis	hyiwrm6--QA	Rock N Roll Black
Any Day Now (My Wild Beautiful Bird)	Chuck Jackson	3AYI-_makRY	Rock N Roll Black
Sh-Boom	The Chords	lXh19yDFO84	Rock N Roll Black
Just One Look	Doris Troy	GI3OYR_XM0w	Doo Wop Girl
Mashed Potato Time	Dee Dee Sharp	roh-TtGqt7Y	Doo Wop Girl
I Really Love You	Dee Dee Sharp	HInroqzjM84	Doo Wop Girl
I Say a Little Prayer	Dionne Warwick	oBEBgM39hY0	Doo Wop Girl
He's So Fine	The Chiffons	qxw1q2gQGlQ	Doo Wop Girl
I Only Want To Be With You	Dusty Springfield	6opirWRSj4c	Doo Wop Girl
Mama Said (Rerecorded Version)	The Shirelles	y8jo47xz_2w	Doo Wop Girl
Baby It's You	The Shirelles	FiJOJuLSwrI	Doo Wop Girl
Lollipop	The Chordettes	mfmeIKU4KAI	Doo Wop Girl
Chapel of Love	The Chordettes	pdGOq4vcZ4U	Doo Wop Girl
Mr. Sandman	The Chordettes	SmcPp1tNm-4	Doo Wop Girl
Iko Iko (Acapella Version)	The Dixie Cups	MpgdOXvrfpQ	Doo Wop Girl
Devil In His Heart	The Donays	u9x9Zofh8jc	Doo Wop Girl
Our Day Will Come	Ruby & the Romantics	i6FpsXojEoQ	Doo Wop Girl
Then He Kissed Me	The Crystals	lE1z26Ik3Y0	Doo Wop Girl
I'll Never Fall in Love Again	Dionne Warwick	zmsCR_39wPM	Doo Wop Girl
Will You Love Me Tomorrow	The Shirelles	zm5fLRB9XAg	Doo Wop Girl
My Boyfriend's Back	The Angels	fEfLMod-Wqk	Doo Wop Girl
What the World Needs Now (Is Love)	Dionne Warwick	O2nUmZ0Nr1Q	Doo Wop Girl
I Will Follow Him	Peggy March	IRk9gAqjLgg	Doo Wop Girl
Needle In A Haystack	The Velvelettes	0SGgUSPaH4Q	Doo Wop Girl
The - Maybe	The Chantels	xBfV4QABdEA	Doo Wop Girl
Mr. Big Stuff	Jean Knight	lPgOg4dg2ZM	Doo Wop Girl
Respect (Mono)	Aretha Franklin	8rRPc87wgug	Doo Wop Girl
I Say a Little Prayer	Aretha Franklin	2t5VNI0XlwY	Doo Wop Girl
Let's Have A Party	Wanda Jackson	m-7NEY4p5s0	Doo Wop Girl
Mama Said	The Shirelles	mvc880rpJeE	Doo Wop Girl
Something's Got A Hold On Me	Etta James	BPjQ7iK5GVI	Doo Wop Girl
Remember (Walkin' In The Sand)	The Shangri-Las	wfxw1uALKgk	Doo Wop Girl
You Don't Own Me	Lesley Gore	cTpvirQ-hPA	Doo Wop Girl
At Last	Etta James	1qJU8G7gR_g	Doo Wop Girl
I'd Rather Go Blind	Etta James	Bcus42ihkTI	Doo Wop Girl
Nancy Sinatra - These Boots Are Made For Walkin' (Finson Rework)	Finson	5qa3UKYY8ko	Doo Wop Girl
The Locomotion	Little Eva	1Lej7aQDrGM	Doo Wop Girl
Lollipop (1958 #2 Billboard chart hit.)	The Chordettes	vaXmOBVqkBg	Doo Wop Girl
Son of a Preacher Man	Dusty Springfield	ZSEKX8GAEYY	Doo Wop Girl
You Can't Hurry Love	The Supremes	l_QQPm45rAc	Doo Wop Girl
The Supremes - Baby Love (Lyric Video)	TheSupremesVEVO	D6QF4sB40gU	Doo Wop Girl
Stop! In The Name Of Love	The Supremes	iVi4NGOICzo	Doo Wop Girl
You Can't Hurry Love	The Supremes	uZj032MNIx4	Doo Wop Girl
Leader Of The Pack	The Shangri-Las	BWIf4Ifk6aQ	Doo Wop Girl
Maybe	The Chantels	3eTTwd9ncVk	Doo Wop Girl
Chapel of Love	The Dixie Cups	Dg4kzfQLKyo	Doo Wop Girl
I Will Follow Him	Petula Clark	v_Y4NXAMDhM	Doo Wop Girl
Wishin' And Hopin'	Dusty Springfield	dyZG1s7gbn8	Doo Wop Girl
My Guy	Mary Wells	icptOB_dH1c	Doo Wop Girl
These Boots Are Made for Walkin'	Nancy Sinatra	aJvDJabuRkQ	Doo Wop Girl
Be My Baby	The Ronettes	QBDem6bffyo	Doo Wop Girl
Leader Of The Pack (from Good Fellas)	The Shangri-Las	rhpO4jfHZog	Doo Wop Girl
Chapel Of Love - Original	The Dixie Cups	RKjVuMq7O7g	Doo Wop Girl
Iko Iko - Original	The Dixie Cups	OuC519ni1aE	Doo Wop Girl
Please Mr. Postman	The Marvelettes	XSm3ViCVtpo	Doo Wop Girl
Baby It's You	The Shirelles	ezD2rZjsQxM	Doo Wop Girl
The Shoop Shoop Song (It's In His Kiss)	Betty Everett	5XOVJsJAIW0	Doo Wop Girl
[You Make Me Feel Like] A Natural Woman [45 Version]	Aretha Franklin	Ay6oJZQ0Y4w	Doo Wop Girl
Crazy	Patsy Cline	CKTOvHw8qFM	Doo Wop Girl
Da Doo Ron Ron	The Crystals	2pxY-5cBx1E	Doo Wop Girl
Bang Bang (My Baby Shot Me Down)	Nancy Sinatra	OEFa4ztm9P0	Doo Wop Girl
Feeling Good	Nina Simone	BNMKGYiJpvg	Doo Wop Girl
One Fine Day	The Chiffons	D0LYs-VqFuw	Doo Wop Girl
Angel Baby	Rosie and the Originals	62i4-WAHePc	Doo Wop Girl
Walk on By	Dionne Warwick	vsGsCvJWEo8	Doo Wop Girl
Back In My Arms Again	The Supremes	OmSbQYNaaho	Doo Wop Girl
This Will Be (An Everlasting Love)	Natalie Cole	rbaoKL1Ei0c	Doo Wop Girl
[Love Is Like A] Heat Wave	Martha Reeves & The Vandellas	sW9mCPlp61U	Doo Wop Girl
The Name Game	Shirley Ellis	Ez8fEJ86hGI	Doo Wop Girl
It's My Party	Lesley Gore	Xqc-tDSBSbE	Doo Wop Girl
Shop Around	Smokey Robinson	D-2UEeJeRBg	Doo Wop Girl
Bongo Cha Cha Cha	Caterina Valente	yQqR9jEacCY	Doo Wop Girl
Sway	Rosemary Clooney	Z3DmJvwXhgI	Doo Wop Girl
Dancing In The Street (Stereo)	Martha Reeves & The Vandellas	1PXzYVhA2CQ	Doo Wop Girl
Sunshine, Lollipops And Rainbows	Lesley Gore	atY7ymXAcRQ	Doo Wop Girl
It's My Party	Lesley Gore	RjdH_NmmO0I	Doo Wop Girl
There'll Come A Time	Betty Everett	G9iIv1XLpro	Doo Wop Girl
It's In His Kiss - Música Sin Límites Rock And Roll	Alternativa Representa	P8_GXKHfx-8	Doo Wop Girl
Crazy	Gnarls Barkley	4awyKrjzCg0	MONSTER IV
Hey Ya!	Outkast	jyyt0T-4dc4	MONSTER IV
I Wish	Stevie Wonder	c7IYSAUj78g	MONSTER IV
Let It Whip	Dazz Band	-XNyV-Q756s	MONSTER IV
Too Close	Next	mr2v1s79Tig	MONSTER IV
Return of the Mack	Mark Morrison	1ZfjB5P7RS0	MONSTER IV
All My Life	K-Ci & JoJo	U4kYXWcd4d8	MONSTER IV
U Remind Me	Usher	mbKeWdC50ls	MONSTER IV
What Is Love (7" Mix)	Haddaway	bizWqF8BmM0	MONSTER IV
Apologize	Timbaland	Ilt_ka7AcpQ	MONSTER IV
09 Standard -The Surviving Elements	MrDoggyDawg	vjamN8ANbc4	MONSTER IV
Kiss from a Rose	Seal	lkzXi4cmdJk	MONSTER IV
Somewhere Over The Rainbow_What A Wonderful World	Israel Kamakawiwo'ole	U-Ooxpz0Eqk	MONSTER IV
Underneath It All	No Doubt	NK1knNrZddE	MONSTER II
It's My Life	No Doubt	bpUgcEc3iLw	MONSTER II
Heart Of Glass	Blondie	M6zdLTfH-As	MONSTER II
One Way Or Another	Blondie	valVixMpzQY	MONSTER II
These Boots Are Made for Walkin'	Nancy Sinatra	TDmidrIDB4o	MONSTER II
Love Don't Cost a Thing	Jennifer Lopez	Ms00b3GwpT0	MONSTER II
The Sign (Remastered)	Ace of Base	Pdbg44M37Q4	MONSTER II
Lovefool	The Cardigans	c0fHs7THj4k	MONSTER II
Can't Get You out of My Head	Kylie Minogue	EU79S-pFmn0	MONSTER II
Walk Like an Egyptian	The Bangles	-tZ-iH_pkSo	MONSTER II
Music	Madonna	NsKF-IhR_mI	MONSTER II
Teardrop	Massive Attack	3h-JYx76QNM	MONSTER II
Black Milk	Massive Attack	Bf9AgX4Ixs4	MONSTER II
Crush	Jennifer Paige	FiNHLO9yyac	MONSTER II
Real Groove	Kylie Minogue	rfGsgixx5eM	MONSTER II
Intuition	Jewel	8IHESm_6BZc	MONSTER II
Torn	Natalie Imbruglia	rIGAt5yvfmw	MONSTER II
Unwritten	Natasha Bedingfield	BbfWRCQ3j6I	MONSTER II
I Want Candy	The Strangeloves	5OOcnPVdKrs	Rock N Roll White
This Diamond Ring	Gary Lewis & the Playboys	xfEdQUxEh9g	Rock N Roll White
Peggy Sue	Buddy Holly	Zpni8tmIzaM	Rock N Roll White
Be-Bop-A-Lula	Gene Vincent & His Blue Caps	9KPoCvO5Zo0	Rock N Roll White
Sorry Suzanne (Remastered)	The Hollies	7dcieiZ9G8Q	Rock N Roll White
Tequila	The Champs	U_JFLb1IItM	Rock N Roll White
Monster Mash	Bobby "Boris" Pickett	bRLML36HnzU	Rock N Roll White
Devil with the Blue Dress On / Good Golly Miss Molly (Medley)	Mitch Ryder	4OUNQfrs9KY	Rock N Roll White
Calendar Girl	Neil Sedaka	w7aXLV1s_q8	Rock N Roll White
The Four Seasons - Walk Like A Man (Official Audio)	RHINO	GzoIvwNqKpw	Rock N Roll White
Gimme Some Lovin' (Remastered)	The Spencer Davis Group	BuQ3PaFyb9A	Rock N Roll White
The Crystals - Then He Kissed Me (Audio)	PhilSpectorVEVO	DfM6dl_yt10	Rock N Roll White
Oh Boy!	Buddy Holly	5gzmWqAauSI	Rock N Roll White
That'll Be The Day	Buddy Holly	V46r035VntQ	Rock N Roll White
La Bamba	Ritchie Valens	0ymdjg9v8zM	Rock N Roll White
Blue Suede Shoes	Carl Perkins	2dm7-wa6d1w	Rock N Roll White
Little Darlin'	The Diamonds	4mi2uXATgVw	Rock N Roll White
Wake Up Little Susie	The Everly Brothers	w1AcbP0_SYs	Rock N Roll White
Heart Of Stone	The Rolling Stones	rULzFMMihoM	Rock N Roll White
Time Is On My Side (Mono Version)	The Rolling Stones	ZHKz7FBUF1w	Rock N Roll White
Come Go With Me	The Del-Vikings	qu1phJwHkFM	Rock N Roll White
Pipeline	The Chantays	4fc57tYou4U	Rock N Roll White
Sleep Walk	The Chantays	It898eG-sQA	Rock N Roll White
This Magic Moment	Jay and the Americans	AG7frxI55PM	Rock N Roll White
Rebel Rouser	Duane Eddy	yzvlPKozW-A	Rock N Roll White
All I Have to Do Is Dream	The Everly Brothers	b2mFbW-3stY	Rock N Roll White
I Fought the Law	The Bobby Fuller Four	oS68vto5RlU	Rock N Roll White
Rock This Town	Stray Cats	4xmLyPZVaXQ	Rock N Roll White
Burning Love	Elvis Presley	5eYjNtK7Ir0	Rock N Roll White
Suspicious Minds	Elvis Presley	xt8XQLvKBUs	Rock N Roll White
Susie-Q	Dale Hawkins	1BukCQNVs1w	Rock N Roll White
Wake Up Little Susie (1957 #1Pop; #1Country Billboard chart hit; #2UK)	The Everly Brothers	xCbcC9YV5es	Rock N Roll White
Lil' Red Riding Hood	Sam The Sham And The Pharaohs	l_EfS8oAr2I	Rock N Roll White
Tequila	The Champs	-PuCXya51GU	Rock N Roll White
Bye Bye Love	The Everly Brothers	l54EsJnlH8I	Rock N Roll White
Mailman Bring Me No More Blues	Buddy Holly	WmKJUutveYE	Rock N Roll White
Peggy Sue - BUDDY HOLLY.	I'd hate to miss the train.	w4q1PuqSUd4	Rock N Roll White
Earth Angel (Digitally Remastered)	The Penguins	q_ouuYT3yco	Rock N Roll White
Beyond the Sea	Bobby Darin	Rc7_lCfbQP0	Rock N Roll White
Do Wah Diddy Diddy	Manfred Mann	rQl7jlKfz84	Rock N Roll White
Surfin' Bird	The Trashmen	DPtn9KzfsGI	Rock N Roll White
The Wanderer	Dion	FCW0HviPEEY	Rock N Roll White
The Lion Sleeps Tonight (Wimoweh)	The Tokens	N7MYqz7KgIs	Rock N Roll White
[We're Gonna] Rock Around The Clock	Bill Haley	hzYBEJgKjv0	Rock N Roll White
The Wanderer	Dion	SbYa7NBYyRc	Rock N Roll White
Shake, Rattle And Roll	Bill Haley	N9lGMHCgiAM	Rock N Roll White
Hound Dog	Elvis Presley	T8JKM_BjuSY	Rock N Roll White
Blue Suede Shoes	Carl Perkins	mvsYRAc-BWA	Rock N Roll White
Great Balls of Fire	Jerry Lee Lewis	V_FAqr6rP4w	Rock N Roll White
Splish Splash	Bobby Darin	4R53SaiFW9c	Rock N Roll White
Bobby Darin - Dream Lover	Carlos Iván	wVHAQX5sSaU	Rock N Roll White
Oh, Pretty Woman	Roy Orbison	3KFvoDDs0XM	Rock N Roll White
You've Lost That Lovin' Feelin'	Righteous Brothers	gPl37xWo-K0	Rock N Roll White
Unchained Melody	Righteous Brothers	te51eVrFWEc	Rock N Roll White
Jailhouse Rock (2003 Sony Remaster)	Elvis Presley	7TRyILM24to	Rock N Roll White
Time Warp	Little Nell	e2JYvCp6Jxs	Rock N Roll White
Big Girls Don't Cry	Frankie Valli	pbQpjEyavWU	Rock N Roll White
Whole Lotta Shakin’ Goin’ On	Jerry Lee Lewis	GN8VV8CHnrk	Rock N Roll White
Sherry	Frankie Valli	LVAsnD969qs	Rock N Roll White
Come Go With Me	The Del-Vikings	hF8URFxNx40	Rock N Roll White
Oh, Pretty Woman	Roy Orbison	efzeF3g6Q20	Rock N Roll White
Can't Take My Eyes off You	Frankie Valli	RQBgfjOROPw	Rock N Roll White
At The Hop	Danny & the Juniors	SEPvoNA1OGw	Rock N Roll White
Hanky Panky	Tommy James	DCnXFePGGmU	Rock N Roll White
Sugar Sugar	The Archies	C7T4aQMxTTM	Rock N Roll White
Brown Eyed Girl	Van Morrison	yZ-VUnIehi8	Rock N Roll White
Hang on Sloopy	The McCoys	x8TBs-UZhEI	Rock N Roll White
Only You (And You Alone)	The Platters	85-6op3kt_g	Rock N Roll White
Heartbreak Hotel	Elvis Presley	L5E8LYd1CSQ	Rock N Roll White
A Little Less Conversation	Elvis Presley	kL6ewSTFJS8	Rock N Roll White
Let's Dance	The Studio Group	alz58hCIMY8	Rock N Roll White
All Shook Up	Elvis Presley	N9awCYgefCg	Rock N Roll White
Don't Be Cruel	Elvis Presley	rsRXZ1afhLw	Rock N Roll White
Return to Sender (From "Girls! Girls! Girls!")	Elvis Presley	CLAbtXFQF20	Rock N Roll White
Chris Montez - Lets Dance	Chris Montez	iftZOHGeArs	Rock N Roll White
Runaway	Del Shannon	7Q98lUZGQrk	Rock N Roll White
Last Kiss	Wayne Cochran	1jPjNSR8pi8	Rock N Roll White
Last Kiss	J. Frank Wilson and the Cavaliers	DBSe68Sa_yI	Rock N Roll White
Can't Seem To Make You Mine	Sky Saxon	Z5wHZvCGgEk	Rock N Roll White
Black Is Black	Los Bravos	_CcdzkSlw2s	Rock N Roll White
[You're The] Devil in Disguise	Elvis Presley	QBrahaCwD-c	Rock N Roll White
Can't Help Falling in Love	Elvis Presley	x3X8eBGYY6U	Rock N Roll White
Little Sister	Elvis Presley	0kWK4NPib1A	Rock N Roll White
Always On My Mind	Elvis Presley	S6ZOe7CxFL0	Rock N Roll White
It's Now or Never	Elvis Presley	xSPgp9GnDdc	Rock N Roll White
Don't Be Cruel	Elvis Presley	PkdjEsOhmWU	Rock N Roll White
Jailhouse Rock	Elvis Presley	ppMZxuZ1lLg	Rock N Roll White
Miserlou	Dick Dale	mKpsuGMeqHI	Rock N Roll White
Good Lovin'	The Rascals	swMzw_e2lJg	Rock N Roll White
Can't Seem To Make You Mine	The Seeds	fSqMaqKs9Eg	Rock N Roll White
Let's Work Together	Canned Heat	wOgYxD59lJ0	Rock N Roll White
A Beautiful Morning	The Rascals	KtqoePiSISE	Rock N Roll White
Groovin'	The Rascals	nTvjjjAeqkw	Rock N Roll White
I Want Candy	The Strangeloves	dqgmhvhOGBk	Rock N Roll White
Jailhouse Rock	Elvis Presley	A99sV18J0mk	Rock N Roll White
I Think We're Alone Now	Tommy James	FeGmP0E5bHE	Rock N Roll White
All I Have to Do Is Dream	The Everly Brothers	43HJe-FVz2k	Rock N Roll White
Runaround Sue	Dion	JYVizw1zwCY	Rock N Roll White
Everyday	Buddy Holly	SQ0rKFa9ZUU	Rock N Roll White
Louie Louie	The Kingsmen	xKt75jUuKJY	Rock N Roll White
Sleep Walk	John Cafferty	g1cj4bRfBxw	Rock N Roll White
Big Bad John	Jimmy Dean	4ukE3jwmOcA	Rock N Roll White
Heartbreak Hotel	Elvis Presley	nxKX2lU5RWE	Rock N Roll White
Everyday	Buddy Holly	7QeBLe9BTb4	Rock N Roll White
Hang on Sloopy	The Strangeloves	T0cYT6M5aYI	Rock N Roll White
La Bamba (Remastered)	Ritchie Valens	-Mj6iG_oF50	Rock N Roll White
All I Have to Do Is Dream	The Everly Brothers	ihb56QpQ4ZM	Rock N Roll White
Runaway	Del Shannon	gaHgHrCwQBA	Rock N Roll White
Walk, Don't Run (Stereo)	The Ventures	j81sy1Ibf9M	Rock N Roll White
Django (English Version)	Luis Bacalov	zTDk0uiRMks	Rock N Roll White
it's okay-OLDIES	Irianat	7yyDY5STeT4	Rock N Roll White
Let's Dance	The Golden Group	vmzJOg01PBM	Rock N Roll White
Sealed With A Kiss	The Lettermen	1aRXwcrICi0	Rock N Roll White
Come A Little Bit Closer	Jay and the Americans	e3LVGBB94eY	Rock N Roll White
Persona 2 Innocent Sin (PSP) OST - Hero Theme	ThisIsMyUsername128	IBoxJGqKyuA	Composer
Donkey Kong Country 2 Music - Stickerbrush Symphony	Jeebs2k8	4EaEdaOS1GA	Composer
In A Snow Bound Land (From "Donkey Kong Country 2")	Good Knight Productions	z__wD4KVhhM	Composer
Song of Healing	Video Game Music Box	X1Ogv2komJI	Composer
Marble Zone	Video Game Music Box	y75ZZUhJVdI	Composer
Labyrinth Zone	Video Game Music Box	Opx2CE3azSc	Composer
fatal fight #4 ~ vs. E.S. Levi - Michtam Underground Lab - Xenosaga III Unreleased - Yuki Kajiura	Max Galactica	YTS0PlaSrlE	Composer
Heaven - Persona 4	PSC	zQ7H4tZa8-k	Composer
I Won't Say (I'm In Love)	Various Artists	CGoOnJ2TlJk	Composer
Royal Blue (1995 Remastered)	Henry Mancini	fClGYpOuevA	Composer
Love	Nancy Adams	I9K9qzdbhNM	Composer
Mrs. Bagwell's Rhumba	FallDownBesideHer	9vmOuVNNF6g	Composer
Angel Baby	Rosie and the Originals	a-3uIjsXSec	Composer
Xenosaga Episode II OST [In-Game] - Labyrinthos	DeathNyx	STGNIDZAT8s	Composer
Age of Conan - Hyborian adventures OST	Skvost	q0HxNMk9YWw	Composer
Kito feat. Reija Lee - Sweet Talk	Rikku1337	4eUNXqblOak	Modern
Blue Foundation - Eyes on Fire (Zeds Dead Remix) [Official Audio]	Warner Music Denmark	3OuPuz9WwLY	Modern
Cracks (Flux Pavilion Remix)	Freestylers	KUOpbWfeMSQ	Modern
Around the World	Daft Punk	Jb6gcoR266U	Modern
